time,I_750,I_800,I_850,I_900
555,0.00467236467236,0.00214896214896,0.00407814407814,0.00549450549451
570,0.0047915047915,0.00237392237392,0.00455544455544,0.00594128094128
585,0.00493691493691,0.00230769230769,0.00487993487993,0.00629426129426
600,0.00563954563955,0.00299404299404,0.00523254523255,0.00669164169164
615,0.00506567506568,0.00281903281903,0.00588781588782,0.00704573204573
630,0.00518370518371,0.00289636289636,0.00585932585933,0.00732656232656
645,0.00540940540941,0.0030895030895,0.00640248640249,0.00794094794095
660,0.0058078958079,0.00374847374847,0.00705331705332,0.0084188034188
675,0.00599400599401,0.00369852369852,0.00719058719059,0.00883283383283
690,0.00615717615718,0.00387797387797,0.00784215784216,0.00939282939283
705,0.00610833610834,0.00434195434195,0.00842823842824,0.0098507048507
720,0.00658748658749,0.0049025049025,0.00885040885041,0.0104784104784
735,0.00672623672624,0.00497613497613,0.00933917933918,0.0112520812521
750,0.00700521700522,0.00521441521442,0.00987863987864,0.0117060717061
765,0.00699448699449,0.00547230547231,0.0105272505273,0.0124808524809
780,0.00760831760832,0.00598845598846,0.0107992007992,0.0132412032412
795,0.00758167758168,0.00611647611648,0.0115458615459,0.0137151737152
810,0.00793724793725,0.00674066674067,0.0123002923003,0.014435009435
825,0.00814481814482,0.00662263662264,0.0129392829393,0.015014985015
840,0.00854922854923,0.00718984718985,0.0134576534577,0.0159240759241
855,0.00880674880675,0.00785436785437,0.0140082140082,0.0166577866578
870,0.00901394901395,0.00806156806157,0.0151515151515,0.0174042624043
885,0.00941946941947,0.00829614829615,0.0159803159803,0.0182961482961
900,0.00959817959818,0.00906907906908,0.0164032264032,0.0187495837496
915,0.0100403300403,0.00980426980427,0.0172930772931,0.0198063048063
930,0.010251970252,0.00965774965775,0.0180012580013,0.0207281607282
945,0.0108632108632,0.0103096903097,0.0189787989788,0.0218115218115
960,0.0108931808932,0.0111048211048,0.0198309098309,0.0226961926962
975,0.0113823213823,0.0115614015614,0.0206944906945,0.0235109335109
990,0.0116531616532,0.0121904021904,0.0218363118363,0.0246181596182
1005,0.011931031931,0.0124764124764,0.0224560624561,0.0253701853702
1020,0.0126447626448,0.0136785436785,0.0235116735117,0.0267798867799
1035,0.0130595330595,0.0139630739631,0.0246509046509,0.0274653124653
1050,0.0135005735006,0.0144203944204,0.0252628852629,0.0286918636919
1065,0.0137799237799,0.0149113849114,0.0267062567063,0.0301087801088
1080,0.0145029045029,0.0160088060088,0.0272582972583,0.0312143412143
1095,0.0150560550561,0.0161956561957,0.028658008658,0.0322111222111
1110,0.0157779257779,0.0173082473082,0.0302508602509,0.0334376734377
1125,0.0158445258445,0.0177492877493,0.0312942612943,0.0346764346764
1140,0.0162496762497,0.0185207385207,0.0325785325785,0.0359484959485
1155,0.0168475968476,0.019077959078,0.033672993673,0.037042957043
1170,0.0177818477818,0.0196703296703,0.0349247049247,0.0384798534799
1185,0.0182302882303,0.020712990713,0.0360731860732,0.0395754245754
1200,0.0192518592519,0.0214333814334,0.0371435971436,0.0410528360528
1215,0.0196607096607,0.0218910718911,0.0388955488955,0.0426134976135
