time,V_tc
3159.9939,-2.2369e-05
3169.9941,-2.2229e-05
3179.9944,-2.2153e-05
3189.9936,-2.2369e-05
3199.9943,-2.2546e-05
3209.9939,-2.2432e-05
3219.9937,-2.2572e-05
3229.9934,-2.2445e-05
3239.9945,-2.2458e-05
3249.9938,-2.3092e-05
3259.9934,-2.2546e-05
3269.9937,-2.2787e-05
3279.9939,-2.2508e-05
3289.9933,-2.2787e-05
3299.9932,-2.2851e-05
3309.9942,-2.2749e-05
3319.9941,-2.3282e-05
3329.9932,-2.3168e-05
3339.9938,-2.412e-05
3349.9932,-2.3663e-05
3359.9937,-2.3536e-05
3369.9936,-2.3041e-05
3379.9944,-2.3295e-05
3389.9935,-2.3511e-05
3399.9932,-2.3435e-05
3409.9934,-2.313e-05
3419.9934,-2.3244e-05
3429.9932,-2.2787e-05
3439.9929,-2.3079e-05
3449.9937,-2.3371e-05
3459.9938,-2.2622e-05
3469.9934,-2.2851e-05
3479.993,-2.3955e-05
3489.9938,-2.327e-05
3499.9931,-2.3574e-05
3509.9928,-2.3409e-05
3519.993,-2.3358e-05
3529.9931,-2.3853e-05
3539.9928,-2.3676e-05
3549.9932,-2.3155e-05
3559.9934,-2.3003e-05
3569.9932,-2.3384e-05
3579.9935,-2.4082e-05
3589.9929,-2.365e-05
3599.9934,-2.3739e-05
3609.9932,-2.3168e-05
3619.9936,-2.3422e-05
3629.9929,-2.3244e-05
3639.994,-2.3409e-05
3649.993,-2.3358e-05
3659.9937,-2.3105e-05
3669.9929,-2.3168e-05
3679.9929,-2.3092e-05
3689.9928,-2.3193e-05
3699.9928,-2.2242e-05
3709.993,-2.2699e-05
3719.9933,-2.2762e-05
3729.9931,-2.247e-05
3739.9926,-2.2343e-05
3749.9926,-2.2838e-05
3759.9923,-2.2305e-05
3769.9928,-2.2178e-05
3779.9929,-1.0924e-05
3789.9928,-2.2216e-05
3799.9929,-2.162e-05
3809.9932,-2.1227e-05
3819.9922,-2.0301e-05
3829.9927,-2.0567e-05
3839.9927,-2.0085e-05
3849.9922,-2.025e-05
3859.9931,-1.9857e-05
3869.9927,-1.9349e-05
3879.9921,-1.9527e-05
3889.9925,-1.9527e-05
3899.9926,-1.9412e-05
3909.9923,-1.926e-05
3919.9922,-1.9121e-05
3929.9923,-1.9273e-05
3939.9921,-1.8842e-05
3949.9936,-1.8918e-05
3959.9919,-1.8575e-05
3969.9923,-1.8613e-05
3979.9925,-1.8651e-05
3989.9922,-1.8017e-05
3999.9926,-1.8499e-05
4009.9923,-1.8093e-05
4019.9918,-1.8359e-05
4029.992,-1.8207e-05
4039.9919,-1.7903e-05
4049.9929,-1.775e-05
4059.9917,-1.742e-05
4069.992,-1.7522e-05
4079.9918,-1.7306e-05
4089.9918,-1.7268e-05
4099.9919,-1.723e-05
4109.9917,-1.7294e-05
4119.9924,-1.6494e-05
4129.9917,-1.6875e-05
4139.9918,-1.6431e-05
4149.9923,-1.6456e-05
4159.9917,-1.6405e-05
4169.9915,-1.5961e-05
4179.9918,-1.6367e-05
4189.9923,-1.5911e-05
4199.9919,-1.6037e-05
4209.9925,-1.5911e-05
4219.9916,-1.5911e-05
4229.9915,-1.5517e-05
4239.9923,-1.5758e-05
4249.9914,-1.5568e-05
4259.992,-1.5708e-05
4269.9916,-1.5454e-05
4279.9922,-1.5441e-05
4289.9924,-1.4921e-05
4299.9914,-1.4743e-05
4309.9919,-1.5035e-05
4319.9912,-1.4655e-05
4329.9914,-1.449e-05
4339.9917,-1.4439e-05
4349.9915,-1.4236e-05
4359.9911,-1.3931e-05
4369.9913,-1.3868e-05
4379.992,-1.4045e-05
4389.9919,-1.3944e-05
4399.9919,-1.416e-05
4409.9914,-1.3982e-05
4419.9914,-1.3817e-05
4429.9918,-1.3119e-05
4439.9911,-1.3639e-05
4449.9915,-1.3424e-05
4459.9915,-1.3094e-05
4469.9914,-1.3018e-05
4479.991,-1.3145e-05
4489.9914,-1.3145e-05
4499.9917,-1.3043e-05
4509.9915,-1.2701e-05
4519.9911,-1.2942e-05
4529.9908,-1.2751e-05
4539.9917,-1.2218e-05
4549.9914,-1.2396e-05
4559.9915,-1.2485e-05
4569.991,-1.2168e-05
4579.9914,-1.2231e-05
4589.9909,-1.2218e-05
4599.9916,-1.1584e-05
4609.9913,-1.1774e-05
4619.9913,-1.1609e-05
4629.9912,-1.1406e-05
4639.9912,-1.1711e-05
4649.9909,-1.1457e-05
4659.9907,-1.1584e-05
4669.9909,-1.1571e-05
4679.9913,-1.1521e-05
4689.9915,-1.1368e-05
4699.9919,-1.1241e-05
4709.9911,-1.1026e-05
4719.9906,-1.1457e-05
4729.9909,-1.1051e-05
4739.9906,-1.1064e-05
4749.9912,-1.095e-05
4759.9912,-1.1115e-05
4769.9909,-1.0835e-05
4779.9908,-1.095e-05
4789.9908,-1.0226e-05
4799.9913,-1.0544e-05
4809.9911,-1.0417e-05
4819.9909,-1.0277e-05
4829.9903,-1.0518e-05
4839.9904,-1.029e-05
4849.9906,-1.0544e-05
4859.9907,-1.0226e-05
